event,text,class_label,event_type
2012_venezuela_refinery-explosion,"#TeamFollowWack Refinery blast kills 26 in Venezuela, dozens hurt - The Associated Press: The As...  #TeamFollowBack",informative,accident
2012_venezuela_refinery-explosion,"yahoo news Fire spreads at Venezuela refinery, 41 dead ",informative,accident
2012_venezuela_refinery-explosion,Venezuela Refinery Burns Fourth Day After 48 Die in Blast,informative,accident
2012_venezuela_refinery-explosion,"@nissanguru well it's the hurricane, the holiday weekend, and a refinery blew up in Venezuela .__.",informative,accident
2012_venezuela_refinery-explosion,Restart date unclear for Venezuela refinery hit by blast - ,informative,accident
2012_venezuela_refinery-explosion,RT @vallie: Probe ordered into Venezuela refinery blast ,informative,accident
2012_venezuela_refinery-explosion,Venezuela refinery fire spreads ,informative,accident
2012_venezuela_refinery-explosion,Firefighters are Extinguishing a Fatal Blaze at an Oil Refinery in Venezuela ... - Forbes ,informative,accident
2012_venezuela_refinery-explosion,RT @whatsnextvz Will #PDSVA learn its lesson after the worst oil refinery explosion in #Venezuela鈥檚 history? ,informative,accident
2012_venezuela_refinery-explosion,Fires burn at Venezuela refinery: Two tanks are still on fire at the Amuay refinery in northern Venezuela after ... ,informative,accident
2012_venezuela_refinery-explosion,"United states&gt; #Refinery blast kills 39 in #Venezuela, dozens hurt ",informative,accident
2012_venezuela_refinery-explosion,What will Venezuela learn from its Amuay refinery explosion? - Christian Science Monitor ,informative,accident
2012_venezuela_refinery-explosion,Fire still burning at #Venezuela's biggest (645k/day) #oil refinery ,informative,accident
2012_venezuela_refinery-explosion,"Venezuela struggles with refinery blaze after deadly blast - PARAGUANA, Venezuela (Reuters) - Venezuelan firefighter... ",informative,accident
2012_venezuela_refinery-explosion,RT @elizondogabriel: What refinery in Amuay looks like today. #Venezuela   (via @Herminiafe - Al Jazeera producer i ...,informative,accident
2012_venezuela_refinery-explosion,Explosion kills 39 at Venezuela refinery ,informative,accident
2012_venezuela_refinery-explosion,#amuay Now this will be partial f'n retarded ,not_informative,accident
2012_venezuela_refinery-explosion,In Case You Missed It... #Venezuela Articles Roundup - Week of 8/31/12  #Chavez #Amuay,informative,accident
2012_venezuela_refinery-explosion,"Massive Explosion at Venezuela鈥檚 Largest Oil Refinery Kills 39, Injures Dozens ",informative,accident
2012_venezuela_refinery-explosion,#amuay I cought my cousin jerking off his little weiner ,not_informative,accident
2012_venezuela_refinery-explosion,Venezuela's Amuay Refinery Still On Fire:                                                   By Nathan Nathaniel ... ,informative,accident
2012_venezuela_refinery-explosion,"#amuay Chick getting bannged under water, sweet, i'd like some lol ",not_informative,accident
2012_venezuela_refinery-explosion,enterprisedaily: Explosion kills 39 at Venezuela refinery - The death toll from an explosion at Venezuela's biggest ... ,informative,accident
2012_venezuela_refinery-explosion,"RT @BreakingNews Update: 39 dead, dozens hurt in explosion at huge Venezuela oil refinery - @AP ",informative,accident
2012_venezuela_refinery-explosion,"RT @Big_Jon_Hunton: My thoughts &amp; prayers go out to all the families affected by the refinery explosion in Amuay, Falc贸n, Venezuela  ...",informative,accident
2012_venezuela_refinery-explosion,Venezuela extinguishes the massive fire at its Amuay Crude Oil Refinery ,informative,accident
2012_venezuela_refinery-explosion,#amuay Are these claims worth buying? ,not_informative,accident
2012_venezuela_refinery-explosion,World news and comment from the Guardian |  Venezuela refinery blast death toll rises to 39:... ,informative,accident
2012_venezuela_refinery-explosion,VIDEO: Blast hits Venezuelan oil refinery,not_informative,accident
2012_venezuela_refinery-explosion,"Death toll rises to 26 in Venezuela refinery explosion (VIDEO, PHOTOS) ",informative,accident
2012_venezuela_refinery-explosion,"Refinery blast kills 26 in Venezuela, dozens hurt: A huge explosion rocked Venezuela's biggest oil refinery and ... ",informative,accident
2012_venezuela_refinery-explosion,#amuay mega business idea ,not_informative,accident
2012_venezuela_refinery-explosion,Last saturday an oil refinery exploded in Venezuela and killed at least 41 people.Government refuses to give an explanation @InjusticeFacts,informative,accident
2012_venezuela_refinery-explosion,#amuay Can this be legit ,informative,accident
2012_venezuela_refinery-explosion,Venezuela firefighters struggle with refinery blaze - Reuters ,informative,accident
2012_venezuela_refinery-explosion,"RT @ianjamesap: Images of fire, smoke and streets littered with debris after oil refinery explosion in #Venezuela  # ...",informative,accident
2012_venezuela_refinery-explosion,Another reason to go #renewable. God Bless Them RT @CleanEnergyView: Blast at Venezuela's Lgst Oil Refinery Kills 24 ,informative,accident
2012_venezuela_refinery-explosion,New tank burns at Venezuela refinery; death toll rises:         #100aday #500aday,informative,accident
2012_venezuela_refinery-explosion,RT @Reuters: Explosion kills 26 at Venezuela's biggest refinery ,informative,accident
2012_venezuela_refinery-explosion,@IndianaGrainCo: also a refinery in Venezuelan refinery blew up over the weekend,informative,accident
2012_venezuela_refinery-explosion,RT @Reuters: Venezuela will not restart refinery until fire is out: official ,informative,accident
2012_venezuela_refinery-explosion,RT @Dbargen: Venezuela Refinery Disaster Spotlights Chavez鈥檚 Mismanagement  #tcot #LNYHBT,informative,accident
2012_venezuela_refinery-explosion,RT @SocialPros: Venezuela In 鈥楴o Hurry鈥?To Restart Refinery After Four-Day Fire ,informative,accident
2012_venezuela_refinery-explosion,Refinery Disaster Will Be Hit to Venezuela's Oil Industry - Reason ,informative,accident
2013_bangladesh_savar-building-collapse,This building should be called as Killer Plaza not Rana Plaza :'( More than 250 people already have died and still counting ...,informative,accident
2013_bangladesh_savar-building-collapse,Our thoughts are w/victims &amp; their families in Dhaka #labor #reform Bangladesh Building Collapse Kills at Least 70 ,informative,accident
2013_bangladesh_savar-building-collapse,RT @CriticalReading: #Bangladesh: Tragedy in garments sector鈥攕upport needed ,informative,accident
2013_bangladesh_savar-building-collapse,"RT @jianghomeshi: #Bangladesh: A store boycott may not be the answer, but demanding retailers take responsibility for safety is... ",,accident
2013_bangladesh_savar-building-collapse,"@Punk_Freedom Bangladesh fire kills 8 as collapse toll hits 912: DHAKA, Bangladesh (AP) 鈥?A fire in a garment factory in Bang...  @sizzxo",informative,accident
2013_bangladesh_savar-building-collapse,#DailyNews Bangladesh building collapse: 40 people found alive in rubble - The Guardian: The GuardianBanglades... ,informative,accident
2013_bangladesh_savar-building-collapse,This Dark tragedy tht has happened in #Bangladesh makes you look at beauty of cloths/fashion &amp; wht you wear twice ,informative,accident
2013_bangladesh_savar-building-collapse,"RT @nytimes: Bangladesh Collapse Death Toll Passes 1,000 ",informative,accident
2013_bangladesh_savar-building-collapse,Sure build more on the permafrost while #Bangladesh building sinks #noKXL #inners #uppers #p2,not_informative,accident
2013_bangladesh_savar-building-collapse,RT @MiaFarrow: Haunting image - read what it means to the photographer.  (#Bangladesh garment factory death toll passes 800 )   ,,accident
2013_bangladesh_savar-building-collapse,#Savar Needs #Blood! Peace ,informative,accident
2013_bangladesh_savar-building-collapse,NDTV: Bangladesh building collapse kills at least three ,informative,accident
2013_bangladesh_savar-building-collapse,RT @DressedStripped: Bangla Desh-SAVAR COLLAPSE: Death toll now 355; 500 believed still missing  @cleanclothes @ILRF 鈥?en,,accident
2013_bangladesh_savar-building-collapse,鈥淍cnnbrk: Source: Woman found alive in rubble 17 days after Bangladesh building collapse. ,informative,accident
2013_bangladesh_savar-building-collapse,"In First Interview Since Bangladesh Factory Collapse, Benetton CEO Confirms Company's Tie To Tragedy ",informative,accident
2013_bangladesh_savar-building-collapse,Garment workers crushed to death in #Bangladesh - report from @IndustriALL_GU Global Union ,informative,accident
2013_bangladesh_savar-building-collapse,#Breaking - we're getting word from the @AP there #rescuers may have found another #survivor in #Bangladesh over 2 weeks after #collapse.,informative,accident
2013_bangladesh_savar-building-collapse,"Via @TonyNewsCamera Haunting and upsetting, Photo: The final embrace before death. @timepictures Bangladesh collapse: ",informative,accident
2013_bangladesh_savar-building-collapse,#SAVAR UPDATE: Death toll rises to 304; today rescuers pulled out 72 survivors from the collapsed building. #Bangladesh #Shahbag,informative,accident
2013_bangladesh_savar-building-collapse,RT @StyleEyes: The Rana Plaza Collapse - How Fashion Bloggers Can Make a Difference... ,informative,accident
2013_bangladesh_savar-building-collapse,"RT @ahalim200: Couple hugging each other before they died, in a collapse building in Bangladesh. ",informative,accident
2013_bangladesh_savar-building-collapse,Breaking News: Bangladesh factory collapse death toll surpasses 600 ,informative,accident
2013_bangladesh_savar-building-collapse,Labels of German retailer KIK also found in the rubble. KIK supply chain now counts close to 700 deaths in just 8 months. #Bangladesh.,informative,accident
2013_bangladesh_savar-building-collapse,"@lifestr3am Bangladesh building collapse death toll nears 350: SAVAR, Bangladesh (AP) 鈥?Police in Bangladesh took five ...  @tobeymonster",informative,accident
2013_bangladesh_savar-building-collapse,"@SancheezyRican No more survivors likely in Bangladesh tragedy: SAVAR, Bangladesh (AP) 鈥?Rescue workers in Bangladesh h...  @tobeymonster",informative,accident
2013_bangladesh_savar-building-collapse,Rescuers scour ruins after Bangladesh building collapse kills 244:        ,informative,accident
2013_bangladesh_savar-building-collapse,Bangladesh factory fire kills eight; collapse toll tops 900: DHAKA: Eight people were killed when a fire swept... ,informative,accident
2013_bangladesh_savar-building-collapse,Podcast: Sue Smith hosts. @AndieCBC on Cherry's locker room comment. Tristan clothing on Bangladesh factory collapse ,informative,accident
2013_bangladesh_savar-building-collapse,"An embrace in death, aftermath of a garment factory collapse on the outskirts of Dhaka, Bangladesh. ",informative,accident
2013_bangladesh_savar-building-collapse,RT @TheEconomist: The collapse of a clothing factory in Bangladesh has stung into action many big firms who have clothes made there ,,accident
2013_bangladesh_savar-building-collapse,Boston terror bomb death toll = 4 people Bangladesh building collapse death toll = 400,informative,accident
2013_bangladesh_savar-building-collapse,"RT @Nazmen88: Even @timesofindia says that Rana, the building owner is an #Awami politician. @AP @AFP #savarTragedy #Savar @hrw ",,accident
2013_bangladesh_savar-building-collapse,"RT @Gawker: After 17 days trapped under the Bangladesh factory collapse, this incredibly strong woman has finally been rescued ",,accident
2013_bangladesh_savar-building-collapse,"After, at least 892 died at the Rana Plaza disaster, 8 more have died in a tragic fire in #Bangladesh. ",informative,accident
2013_bangladesh_savar-building-collapse,Desperate search continues in Bangladesh after building collapse - CNN ,informative,accident
2013_bangladesh_savar-building-collapse,"RT @BDnews: Garment factory building collapses in Bangladesh, 25 dead: TV - 璺€忕ぞ  #Bangladesh",informative,accident
2013_bangladesh_savar-building-collapse,RT @Channel4News: Government minister says death toll in Bangladesh building collapse has risen to 161. #c4news,informative,accident
2013_bangladesh_savar-building-collapse,@tobeymonster Deadly Bangladesh Collapse: Building Owner Arrested: Cheers broke out at the scene of collapsed factory when news was a...,informative,accident
2013_bangladesh_savar-building-collapse,Subhanallah! RT @guardian: Top story = Bangladesh factory: woman found alive in rubble 17 days after collapse ,informative,accident
2013_bangladesh_savar-building-collapse,"@tobeymonster Toll in Bangladesh building collapse passes 300: SAVAR, Bangladesh (AP) 鈥?More than two days after their factory collap...",informative,accident
2013_bangladesh_savar-building-collapse,"RT @nycjim: Latest on #Bangladesh survivor, found after 17 days: Identified as Reshma; taken to military hospital. ",informative,accident
2013_bangladesh_savar-building-collapse,RT @NewYorker: 10 cents: the estimated additional cost per piece of clothing to prevent disasters like #RanaPlaza: ,informative,accident
2013_bangladesh_savar-building-collapse,RT @BBCBreaking: Bangladesh has closed 18 garment factories on safety grounds since #Dhaka building collapse that killed over 800 ,,accident
2013_bangladesh_savar-building-collapse,"RT @wcgirl1: #Bangladesh Factory Making Wal-Mart Clothes #Collapses, Kills 100 ",informative,accident
