text,label
"Africa: Algeria: MERS Death Reported: A 66-year-old man died from Middle East Respiratory Syndrome, the first ... ",informative
#news TSA Warns Travelers About Deadly MERS Virus: The disease that recently showed up in the U...  #breaking #nbc,informative
ProMED: Sequencing of Jeddah #MERS outbreak genomes show no mutation that would suggest increased transmissibilty ,informative
"An #Algeria|n man died from Middle East Respiratory Syndrome, the 1st deadly case of the virus | #health @nytimes | ",informative
"Proof frm #Oman that camels can carry #MERS, as already seen #saudiarabia &amp; #qatar  Doesn't = people get frm camels",informative
RT @RealPoxdoc: Camels easily infected with #MERS and shed large amounts of virus from the nose.  Likely candidate for transmission to humaa€|,informative
RT @hsclarkmystery: ART AND MEDICINE!a??Dr answers questions on medical media  #mhealth #ACA #foamed #RN #health #doctoa€|,informative
RT @cnnhealth: #MERS update: @TSA will be posting these signs at some airports ,informative
Ministry issues warning on MERS:  The Health Ministry has begun to raise awareness about the disease to Muslim... ,informative
"Substantial upward revision of MERS-CoV death toll in Saudi Arabia, via @DrMiguelPerales in @bbc #MERS ",informative
"The animals are the Typhoid Mary of Middle East Respiratory Syndrome, infectious disease expert says ",informative
RT If YOU knoW THIS MERS-COv VIRuS!!,informative
"It amazes me,the way diseases are being termed after a particular region....Middle East Respiratory Syndrome..... O ma ga oo",informative
RT @DailyHealthTips: MERS CoV : Symptoms &amp; Prevention  #MERS #HealthTips ,informative
"Second U.S. case of MERS virus found in Florida, CDC says: Centers for Disease Control believes this case, lik... ",informative
RT @Fla_Medic: AFD Blog `#BMC Research Notes: Unanswered Question About #MERS-CoV' ,informative
Middle East Respiratory Syndrome (MERS) Symptoms: Coronavirus Spreads ... - Latin Post  #MERSCoV,informative
Anyone you know heading to Middle east soon? Worried about #Mers Co-V. See info here. ,informative
"RT @FluTrackers: #USA @CDCgov experts in #Saudi Arabia consulting on #coronavirus #MERS treatment and containment - May 10, 2014 ",informative
"If you have symptoms consistent with a cold AND exposure via travel to Middle East, that's when we'd entertain possibility of #MERS.",informative
RT @Eurosurveillanc: In this week's issue papers contributing to available evidence-base on #MERS-CoV detection and transmission paths httpa€|,informative
The first case of MERS disease ever in the US is 2 cities over.. And I was in the historical he went to last week.. #great,informative
#Zawya Saudi government set-up board of specialists to contain Corona virus: A Health Advisory Board has been ...  ,informative
RT @globalnews: U.S. reports first case of local transmission of #MERS virus. ,informative
2 health care workers exposed to MERS patient had flu-like symptoms--but they're okay  #health #mers #globalmed @cnn,informative
"RT @ANNELAMOTT: My MERS symptoms are increasing in severity.  Probably shd cancel plans for yardwork, &amp; just rest.  Try to keep the patienta€|",informative
Apparently #MERS in IN: April 24 travel Riyadh #KSA-LON-CHI. Took bus to IN; respiratory symptoms Apr 27. via @jyangstar,informative
CDC posts updated guidelines for preventing transmission of MERS in hospitals. ,informative
@DeeC748 KNOWING MERS IS DEADLY. PEOPLE TRAVELING FROM THE AFFECTED COUNTRIES SHOULD BE QUARANTINED TILL THEY PROVE FREE OF DISEASE.,informative
 I'm a disease guys #MERS,not_informative
"RT @MackayIM: When humana€?toa€?human transmission occurred, transmission was not sustained  Rcnt #MERS cases as of 24-Apr. ",informative
"Middle East respiratory syndrome coronavirus (MERS-CoV) a€¡° update: On 31 May 2014, the National I...  #WHO #disease",informative
RT @maiamajumder: Could ritual ablution practices help explain #MERS transmission in hospital settings? (Link:  httpa€|,informative
RT @MackayIM: Thoughts on #MERS CoV detctn in people without disease. Have things changed during Jeddah outbreak?Nuh. More at VDU ,informative
RT @martinenserink: Virologist Christian Drosten investigated #MERS in Saudi Arabia; @kakape bombarded him with questions. ,informative
Everything you need to know about MERS disease.     #mers #mersdisease,informative
#MERS: The clock is ticking and time is not really a luxury.  #Saudi #opinion #Saudipulse #coronavirus #health,informative
Muslim Tradition of Drinking Camel Urine Will Spread MERS Disease Globally - Walid Shoebat ,informative
"@Paleface31 @PAC43~&gt; They should stay in their Own Country, and keep their MERS Disease with them. Keep F'Kn your Goats you Pigs.",informative
"@MackayIM @SaudiMOH you know that 339 #mers cases, is that aggregate number globally or just Saudi?",informative
"How #MERS could topple the House of Saud, and beyond ",not_informative
RT @LiveScience: MERS Victim Caught Deadly Disease from Camel ,informative
"CDC, Why R we allowing foreigners into USA without testing for Diseases? MERS in the US:  Potentially deadly virus | ",informative
@Shahad_Alarenan under the face mask that is ??_ ?_?7?_?5  #coronavirus,not_informative
"MERS outbreak hits 30% death rate as pandemic spreads in Saudi Arabia  aware, of this disease. I think it may be here?",informative
The explosion in cases of Middle East #coronavirus (MERS) in recent weeks raises a simple question: Why? Or more... ,informative
@tedhouk  Currently no specific antiviral treatment for #MERS. Based on patienta€?s clinical condition.,informative
"RT @ironorehopper: #HK, 3 patients w/ resp.symptoms &amp; #travel history under CHP investigation for #MERS (May 16 14) @FluTrackers ",informative
Middle Eastern virus spreading due to lack of infection prevention: iStockphoto | ThinkStock + Scrubs The outb... ,informative
@hklatt26 is MERS an airbourne disease?,informative
"RT @canadacomHealth: WHO, experts raise questions about newly revewaled Saudi #MERS cases  @HelenBranswell #health",informative
RT @IDPH: Illinois Department of Public Health Reactivates Hotline for MERS-CoV Questions ,informative
U.S. #hospital employees have flu-like symptoms after contact with #MERS case @torontostar ,informative
RT @yani_bih: MERS is the new thot disease,informative
RT @RT_America: Two hospital workers showing signs of deadly MERS virus in Florida  ,informative
@davidicke MERS is a disease not a drug resistant superbug. Its caused by a coronavirus nicknames MERS-CoV. A pandemic is highly unlikely,informative
"Saudi Arabia finds another 18 MERS cases. Disease spreads.  I told you before, now: UPCOMING epidemic from China. ",informative
MERS comes from Camels. Going to call it the Camels disease.,informative
Interspecies anthrpologists: CDC call for camel research  ,informative
@CDCgov #MERS @WHO #coronavirus  How can people effectively minimize the risk of contracting this fairly new disease CDC??,informative
RT @mashable: Forget Alec Baldwin! Two additional health care workers are showing symptoms of the deadly #MERS virus in U.S. ,informative
RT @Nuviun: #mHealth Summit #MiddleEast Presents Solutions Against Contagious Diseases Like #MERS  @HIMSSME #digitalha€|,informative
The Corona Virus Awareness Campaign  Let's outsmart it together ?__A ,informative
One of the 2 Algerian umrah pilgrims who contracted #MERS in #KSA has died.  ,informative
DNA Test Indicates Camel-to-Human Transmission of #MERS  Cc @alimhaider @taotao_salupa,informative
#MERS has everyone on alert! A Christian Perspective on the Origin of Infectious Diseases  #zoonosis,informative
RT @aqushmaq: My brother Dr. Ismael is showing a great progress within the treatment for #MERS .. Hopefully the coming hours will bring us a€|,informative
The worst thing you can do in this time of panic caused by #MERS is to spread false info or rumors or health tips of any kind...,informative
Search for #MERS treatment: #US experts declare progress   #Saudi #health #coronavirus  #Arabnews,informative
RT @msdh: MERS is a new respiratory disease starting to appear in the U.S. Read about prevention at  ,informative
Health Ministry unveils strategy for MERS-CoV prevention: (VOV) a€¡° The Ministry of Health (MoHa€| ,informative
Saudi Arabia says total number of MERS disease cases has nearly doubled in April with 26 more infections reported... ,informative
"#MERS: Orlando hospital workers exposed to MERS-infected patient, but so far no signs of sickness.  #fnr",informative
@Valgal72812 @NopeNotThisTime I don't remember choosing the malaria parasite or the polio virus.,not_informative
 #CDC #MERS #medicine #disease #medical #studying,informative
From the #WorldCup to #Mecca: Can Big Events Spread Diseases?  #MERS #coronavirus #dengue #measles #mumps,informative
Deadly MERS Disease Found in??U.S. ,informative
1st confirmed human-to-human transmission of MERS within US: Illinois man contracts coronavirus from Indiana patient. ,informative
Wondering about that MERS virus? Some answers to the common questions: TORONTO - With rapidly climbing patient... ,informative
#SaudiArabia finds another 32 MERS cases as disease spreads: Saudi Arabia said on Thursday it had iden... ,informative
"MERS-CoV: for treatment, ribavirin/interferon promising in macaques but they only get mild disease. #PAS2014",informative
"I swear America always got some shit, now we have a contagious disease called MERS in Illinois, Florida &amp; Indiana e??¡¯",informative
RT @Laurie_Garrett: 2 Americans have caught #MERS on the hospital job in #SaudiArabia and brought disease home -- latest = Florida case htta€|,informative
"#world Mers virus spreads across Middle East: Mers, a new camel-borne respiratory disease, threatens pilgrimag... ",informative
RT @MackayIM: The majority of the infected healthcare workers presented with no or minor symptoms  Rcnt #MERS cases as of 24-Apr. ,informative
And the fact that in-hospital transmission of #MERS is still not contained,informative
#mashable 10 Questions on the Deadly Middle Eastern Virus That Showed Up in Indiana  @freevivek,informative
@WHO: WHO risk assessment on Middle East respiratory syndrome  (24 April 2014) #MERS,informative
It's so *black*. You can hardly even make out its shape. Light just falls into it.  [new ultrablack material],not_informative
